Id,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
1909,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,17,213,1721
1910,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,18,213,1721
1911,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,18,213,1721
1912,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,17,213,1721
1913,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,16,213,1721
1914,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1915,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1916,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1917,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1918,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1919,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1920,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,15,213,1721
1921,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,17,213,1721
1922,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
1923,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,12,213,1721
1924,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1925,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,13,213,1721
1926,Mon Dec 30 07:30:09 IST 2019,Mon Dec 30 07:30:09 IST 2019,GET,http://mannar-test.localcb.in:8080/api/v2/customers/cbdemo_3Nl97QqRdXm1GwlC,200,OK,14,213,1721
